codeId,codeName,latitude,longitude
210001,부산엄궁,35.12809789767208,128.96541447673232
210009,부산반여,35.214545579873494,129.12268145822847
380201,울산,35.5386703297488,129.34302313308143
370101,포항,36.08223069465732,129.33677684433155
320201,원주,37.35497729943706,127.92316974259043
320101,춘천,37.90952093146264,127.72708815753023
320301,강릉,37.73664434087256,128.9181693502028
210005,부산국제수산,35.05810093676964,129.01045396990693 
110001,서울가락,37.49382219988792,127.11094589690624
110008,서울강서,37.55302877168628,126.82079302421212
310101,수원,37.25546781322705,127.0315540017163
310401,안양,37.38310428411719,126.97054924908144
310901,안산,37.30935245652239,126.85624332071785
311201,구리,37.61248530877909,127.14470060326173
230001,인천남촌,37.422345615005604,126.71943816303792
230003,인천삼산,37.52188392151786,126.74925821352198
360301,순천,34.91715729599563,127.5381068710611
240001,광주각화,35.18497112650459,126.93390316287652
240004,광주서부,35.18497112650459,126.93390316287652
350402,정읍,35.588938838959486,126.845612853313
350301,익산,35.91918183607981,126.91887484265375
350101,전주,35.868174474420734,127.11787547717833
250001,대전오정,36.35747145042396,127.40586207635953
250003,대전노은,36.36486435244477,127.32025979016008
330101,청주,36.648510761601116,127.46469752339463
340101,천안,36.86101130928284,127.1499801744208
330201,충주,37.00577822939527,127.92298546127037
370401,안동,36.589693062130664,128.60868239355796
371501,구미,36.15679888972783,128.34990817358957
220001,대구북부,35.90301616397593,128.54328777905383
380401,진주,35.21139990150292,128.1230332820134
380101,창원팔용,35.230008840144336,128.6376897818966
380303,창원내서,35.255249953219725,128.51148258228716
